order_id,order_date,region,city,product_id,units_sold,revenue,profit,customer_type,channel
86,2025-06-29,South,North Kimberlybury,17,6,27.72,16.44,Returning,Online
87,2025-02-21,East,North Jonathan,1,4,17.04,10.08,Returning,Retail
88,2024-11-21,South,Port Carlos,1,12,51.12,30.24,Returning,Online
89,2024-11-21,West,Prestonbury,6,9,26.1,15.48,Returning,Online
90,2024-06-08,West,Port Stephenside,24,6,29.16,14.7,New,Online
91,2025-01-29,South,Rodriguezstad,12,6,35.04,15.12,Returning,Retail
92,2024-03-08,South,South Kentland,18,5,24.05,13.8,New,Online
93,2025-06-29,South,North Ronald,9,6,16.86,5.94,New,Online
94,2024-05-23,North,Port Tyler,16,4,8.92,5.0,New,Online
95,2024-05-15,South,East Angela,17,6,27.72,16.44,Returning,Online
96,2025-11-05,North,North Theresa,3,9,33.21,19.62,New,Retail
97,2024-12-11,East,Amyberg,2,7,39.41,23.45,Returning,Online
98,2025-02-03,South,Port Amandamouth,10,6,58.56,31.44,Returning,Retail
99,2025-07-26,East,Ariasbury,3,6,22.14,13.08,Returning,Online
100,2025-10-14,West,Lake Jacobshire,19,6,34.98,17.1,Returning,Retail
101,2024-10-07,South,New Robert,22,6,31.5,16.02,New,Online
102,2025-05-14,West,Lake Jackview,23,7,22.19,11.83,Returning,Retail
103,2025-02-25,North,Robertotown,21,8,53.68,30.8,Returning,Retail
104,2024-09-06,North,Robinsonmouth,14,8,61.6,27.36,New,Retail
105,2024-10-12,South,West Lisa,25,7,65.87,35.42,Returning,Online
106,2025-12-27,East,North Katie,15,10,35.4,16.5,Returning,Retail
107,2024-05-31,South,New Christine,20,4,16.44,8.6,Returning,Retail
108,2025-05-18,East,Michaelland,23,8,25.36,13.52,New,Retail
109,2025-05-17,East,Payneport,14,4,30.8,13.68,New,Retail
110,2024-06-09,North,New Marieshire,22,6,31.5,16.02,Returning,Online
111,2025-10-12,East,North Jenniferton,7,6,54.6,25.5,New,Retail
112,2025-07-22,West,Heatherton,17,9,41.58,24.66,Returning,Online
113,2025-12-09,South,New Heatherborough,2,6,33.78,20.1,Returning,Online
114,2025-07-11,West,Lake Lisahaven,12,4,23.36,10.08,Returning,Online
115,2024-10-10,East,South Antonio,23,3,9.51,5.07,Returning,Online
116,2025-11-28,South,Jamieton,15,7,24.78,11.55,New,Retail
117,2024-03-31,North,Bethburgh,22,3,15.75,8.01,Returning,Retail
118,2025-12-04,North,Lindseyburgh,18,12,57.72,33.12,New,Retail
119,2025-01-12,East,Whitefort,23,6,19.02,10.14,Returning,Online
120,2025-10-03,South,North Davidborough,1,6,25.56,15.12,Returning,Retail
121,2024-07-16,West,North Shelley,24,6,29.16,14.7,New,Online
122,2025-11-26,North,Frazierburgh,12,6,35.04,15.12,Returning,Online
123,2024-02-27,South,Melaniebury,17,4,18.48,10.96,Returning,Retail
124,2025-02-09,North,North Nicholashaven,4,6,48.96,21.78,Returning,Online
125,2024-09-29,North,Perezville,13,6,30.24,10.98,Returning,Online
126,2025-01-13,South,New Jonmouth,12,6,35.04,15.12,Returning,Retail
127,2024-02-22,North,Ortizburgh,20,7,28.77,15.05,Returning,Online
128,2024-12-28,West,Angelaside,20,10,41.1,21.5,Returning,Retail
129,2025-05-01,South,West Amber,10,8,78.08,41.92,Returning,Online
130,2025-12-18,South,Lake Kyle,3,7,25.83,15.26,New,Retail
131,2025-08-27,East,North Tammyfurt,23,4,12.68,6.76,New,Retail
132,2024-10-28,West,West Jessica,9,4,11.24,3.96,Returning,Retail
133,2025-11-29,East,Michaelborough,20,7,28.77,15.05,Returning,Retail
134,2024-08-09,East,South Michael,4,1,8.16,3.63,New,Retail
135,2024-12-31,North,Port Sydney,18,7,33.67,19.32,Returning,Retail
136,2024-04-10,South,Donaldfurt,24,4,19.44,9.8,Returning,Retail
137,2025-11-26,North,Port Alyssashire,13,12,60.48,21.96,New,Retail
138,2025-01-28,South,South Todd,19,1,5.83,2.85,New,Retail
139,2025-07-15,East,West Kathleen,13,6,30.24,10.98,Returning,Retail
140,2025-12-29,South,North Matthewside,5,4,14.0,6.56,New,Online
141,2025-11-30,South,Nguyenburgh,16,7,15.61,8.75,New,Online
142,2024-03-06,North,West Tamibury,16,3,6.69,3.75,Returning,Online
143,2025-08-03,East,Parkville,5,4,14.0,6.56,New,Online
144,2024-04-11,West,South Karina,20,4,16.44,8.6,New,Online
145,2025-03-21,South,West Vanessa,23,2,6.34,3.38,New,Retail
146,2024-09-18,North,Lake Jenniferville,19,7,40.81,19.95,Returning,Online
147,2025-04-22,North,Mcgeeshire,12,5,29.2,12.6,Returning,Online
148,2025-04-02,North,Lake Michaelstad,3,8,29.52,17.44,Returning,Online
149,2024-04-20,East,Meyershire,19,6,34.98,17.1,New,Retail
150,2024-08-11,West,Aaronhaven,24,9,43.74,22.05,Returning,Retail
151,2024-09-18,East,Suzannemouth,7,7,63.7,29.75,New,Online
152,2025-05-08,North,Whiteton,6,9,26.1,15.48,Returning,Online
153,2024-07-13,West,East Karina,17,6,27.72,16.44,Returning,Retail
154,2025-05-04,West,Derekberg,9,4,11.24,3.96,New,Online
155,2025-09-05,South,Danielchester,11,6,17.76,6.84,Returning,Retail
156,2025-07-06,North,Colemanland,3,3,11.07,6.54,Returning,Retail
157,2025-02-22,East,Lake Christinaside,22,4,21.0,10.68,Returning,Online
158,2025-06-29,South,Nelsonstad,5,10,35.0,16.4,New,Online
159,2024-02-22,South,East Mikefort,1,5,21.3,12.6,Returning,Retail
160,2024-03-01,East,South Jennifermouth,7,7,63.7,29.75,New,Retail
161,2025-03-21,East,Johnathanstad,2,4,22.52,13.4,New,Retail
162,2024-06-23,West,Denisechester,17,6,27.72,16.44,Returning,Retail
163,2024-01-17,North,West Lucasland,2,10,56.3,33.5,New,Retail
164,2025-09-30,South,Lake Nicole,15,8,28.32,13.2,New,Online
165,2025-03-05,West,Stephanieton,13,6,30.24,10.98,New,Retail
166,2024-03-04,South,West Nicolefort,6,8,23.2,13.76,Returning,Online
167,2024-03-02,West,West Benjamin,17,5,23.1,13.7,New,Retail
168,2025-02-10,North,Port Jennifer,6,5,14.5,8.6,Returning,Retail
169,2024-04-11,West,Lake Kellyberg,23,8,25.36,13.52,Returning,Retail
170,2025-06-05,North,Schwartzfort,1,4,17.04,10.08,Returning,Retail
171,2024-05-30,North,Davismouth,16,2,4.46,2.5,New,Online
172,2025-11-26,North,East Gerald,23,1,3.17,1.69,Returning,Online
173,2024-05-29,West,Patriciaborough,19,3,17.49,8.55,Returning,Online
174,2025-11-05,South,Youngburgh,14,4,30.8,13.68,New,Online
175,2024-11-15,North,West Kristenport,24,12,58.32,29.4,Returning,Retail
176,2024-03-17,South,West Paul,12,3,17.52,7.56,Returning,Retail
177,2025-08-12,East,North William,25,2,18.82,10.12,New,Online
178,2025-01-21,South,South Christopher,23,5,15.85,8.45,New,Online
179,2025-07-27,East,Francesmouth,24,5,24.3,12.25,Returning,Retail
180,2024-04-12,West,Johnsonbury,4,4,32.64,14.52,New,Retail
181,2024-03-27,North,East Josephshire,8,3,7.32,3.45,New,Online
182,2024-10-14,North,Diazview,13,3,15.12,5.49,Returning,Online
183,2024-06-04,West,North Alan,19,6,34.98,17.1,Returning,Retail
184,2024-08-07,West,South James,1,8,34.08,20.16,Returning,Retail
185,2025-02-07,North,Monicahaven,5,5,17.5,8.2,New,Retail
186,2025-12-11,West,Westland,13,6,30.24,10.98,Returning,Retail
187,2024-06-01,West,Port Blakeshire,16,2,4.46,2.5,Returning,Online
188,2025-01-24,South,New Linda,6,9,26.1,15.48,Returning,Online
189,2024-02-24,North,Farrellview,17,5,23.1,13.7,New,Retail
190,2024-12-13,North,West Jacobstad,20,9,36.99,19.35,Returning,Online
191,2024-08-24,South,New Melissa,5,5,17.5,8.2,New,Retail
192,2025-03-02,West,Keytown,17,2,9.24,5.48,Returning,Retail
193,2025-12-20,North,East Mackenzie,22,7,36.75,18.69,Returning,Online
194,2024-10-11,East,Robinsonchester,1,8,34.08,20.16,Returning,Retail
195,2024-03-20,North,West Jessicatown,17,3,13.86,8.22,Returning,Online
196,2025-12-01,East,West Randy,23,6,19.02,10.14,New,Retail
197,2024-03-04,South,Sandramouth,24,7,34.02,17.15,New,Online
198,2024-01-08,North,Alexiston,24,7,34.02,17.15,Returning,Retail
199,2025-11-16,West,Pettyside,22,12,63.0,32.04,Returning,Retail
200,2024-10-11,East,East Francesbury,9,6,16.86,5.94,Returning,Online
201,2024-07-01,North,Katherineberg,6,1,2.9,1.72,New,Online
202,2025-08-27,South,East Kimberlystad,21,4,26.84,15.4,Returning,Retail
203,2024-04-30,North,Charlesport,1,5,21.3,12.6,Returning,Online
204,2025-12-15,East,South Catherine,11,7,20.72,7.98,Returning,Retail
205,2024-03-14,West,West Tracyview,11,5,14.8,5.7,New,Online
206,2024-05-12,South,East Erik,5,12,42.0,19.68,New,Online
207,2024-09-26,North,Carriestad,18,3,14.43,8.28,Returning,Retail
208,2025-07-16,South,Lorimouth,19,4,23.32,11.4,Returning,Retail
209,2024-12-26,West,Gomezside,9,6,16.86,5.94,New,Online
210,2025-07-19,West,Travisview,13,6,30.24,10.98,Returning,Online
211,2024-08-20,South,New Tylertown,12,2,11.68,5.04,Returning,Online
212,2024-03-12,South,Deanport,11,5,14.8,5.7,New,Retail
213,2025-05-20,South,South Timothy,24,3,14.58,7.35,New,Retail
214,2024-10-19,North,New Lisa,16,5,11.15,6.25,New,Retail
215,2025-04-01,South,New Kathrynside,2,5,28.15,16.75,New,Online
216,2025-10-19,East,West Ian,23,8,25.36,13.52,New,Retail
217,2024-05-04,East,New Ericside,14,7,53.9,23.94,Returning,Retail
218,2025-12-14,South,Brittanymouth,20,4,16.44,8.6,Returning,Retail
219,2024-04-03,East,North Robertland,18,7,33.67,19.32,Returning,Online
220,2025-10-31,West,West Nathanielfurt,13,5,25.2,9.15,Returning,Online
221,2025-11-09,West,East Michael,10,1,9.76,5.24,New,Online
222,2024-01-19,South,Randyview,1,8,34.08,20.16,Returning,Retail
223,2025-05-20,North,North Keithville,17,2,9.24,5.48,New,Online
224,2025-02-24,South,Crosbyborough,15,6,21.24,9.9,New,Online
225,2024-10-22,South,Petersenville,19,4,23.32,11.4,New,Retail
226,2025-03-28,West,Lake Brittany,19,4,23.32,11.4,Returning,Online
227,2025-07-12,North,Timothytown,14,3,23.1,10.26,New,Online
228,2024-04-29,North,South Thomasmouth,2,8,45.04,26.8,New,Retail
229,2024-11-19,West,Chenshire,4,6,48.96,21.78,New,Retail
230,2025-05-13,East,North Cindyborough,15,8,28.32,13.2,Returning,Retail
231,2025-11-21,West,New Emma,20,3,12.33,6.45,New,Retail
232,2025-02-15,South,Ballardhaven,23,3,9.51,5.07,New,Retail
233,2024-01-07,East,Johnsonborough,11,4,11.84,4.56,New,Retail
234,2024-04-28,North,West Keithport,16,6,13.38,7.5,New,Retail
235,2024-03-09,West,South Bryanshire,22,7,36.75,18.69,Returning,Online
236,2024-02-25,South,Perezton,3,7,25.83,15.26,Returning,Online
237,2025-10-04,East,Lake Kennethbury,16,3,6.69,3.75,New,Retail
238,2024-12-31,West,Kellyhaven,20,10,41.1,21.5,Returning,Online
239,2024-10-20,West,East Oliviaborough,18,3,14.43,8.28,Returning,Retail
240,2024-11-01,North,North Timothy,10,3,29.28,15.72,Returning,Online
241,2025-07-14,North,Clintonview,18,2,9.62,5.52,Returning,Retail
242,2024-05-28,West,Christinechester,10,14,136.64,73.36,Returning,Online
243,2024-05-23,South,Josephland,19,2,11.66,5.7,New,Retail
244,2025-11-07,North,Danielshire,11,7,20.72,7.98,Returning,Retail
245,2024-02-27,West,Lake Christina,23,4,12.68,6.76,New,Online
246,2024-06-20,East,North Whitney,23,2,6.34,3.38,Returning,Retail
247,2024-06-23,South,Calderonborough,9,3,8.43,2.97,New,Retail
248,2025-07-09,South,Piercemouth,14,4,30.8,13.68,Returning,Retail
249,2024-07-18,South,Maldonadostad,18,2,9.62,5.52,Returning,Retail
250,2024-02-27,South,Alejandroville,3,4,14.76,8.72,Returning,Retail
251,2024-06-14,East,Thomastown,10,4,39.04,20.96,New,Retail
252,2024-02-07,South,New Michaelfurt,1,3,12.78,7.56,New,Retail
253,2025-05-16,North,North Brandon,7,3,27.3,12.75,New,Online
254,2024-10-31,West,Alexanderborough,22,6,31.5,16.02,New,Online
255,2025-10-24,South,East Dorisberg,13,5,25.2,9.15,Returning,Online
256,2025-07-01,South,Crossmouth,14,3,23.1,10.26,New,Online
257,2025-03-07,South,East Penny,3,1,3.69,2.18,Returning,Retail
258,2024-09-13,South,North Carl,2,5,28.15,16.75,New,Online
259,2025-09-27,East,North Zachary,19,8,46.64,22.8,New,Online
260,2025-11-06,South,Lindsaymouth,15,4,14.16,6.6,Returning,Retail
261,2025-08-18,South,Andrewberg,12,5,29.2,12.6,Returning,Online
262,2025-06-08,North,New Timothybury,6,6,17.4,10.32,Returning,Retail
263,2025-08-16,East,Lake Travis,10,2,19.52,10.48,New,Retail
264,2025-07-27,South,Martinshire,2,4,22.52,13.4,New,Online
265,2024-08-30,East,Lynchland,25,3,28.23,15.18,Returning,Online
266,2024-11-19,North,Lake Jameschester,11,4,11.84,4.56,Returning,Online
267,2025-06-19,East,Smithfort,10,8,78.08,41.92,New,Online
268,2024-04-10,South,East Bethanyfurt,15,7,24.78,11.55,New,Retail
269,2024-01-24,North,North Larryton,24,3,14.58,7.35,New,Online
270,2025-05-19,North,New Chrisfort,18,6,28.86,16.56,New,Online
271,2025-02-19,South,Weissmouth,11,14,41.44,15.96,New,Retail
272,2024-06-25,North,South Michael,25,3,28.23,15.18,Returning,Online
273,2025-12-26,South,South Karenstad,10,4,39.04,20.96,New,Online
274,2024-04-15,North,North Vanessahaven,16,6,13.38,7.5,New,Online
275,2024-03-04,North,Port Debbie,10,6,58.56,31.44,Returning,Online
276,2024-06-22,East,Lake Daniellemouth,19,7,40.81,19.95,Returning,Retail
277,2024-04-21,South,Linville,24,7,34.02,17.15,New,Online
278,2025-11-14,East,South Tara,16,4,8.92,5.0,New,Online
279,2025-05-23,East,Port Monica,18,4,19.24,11.04,New,Retail
280,2025-09-01,East,East Seanmouth,6,10,29.0,17.2,Returning,Retail
281,2025-09-30,West,North Becky,2,6,33.78,20.1,New,Online
282,2025-04-07,North,New Cody,5,3,10.5,4.92,New,Retail
283,2025-02-03,West,South Peterport,15,3,10.62,4.95,Returning,Online
284,2025-11-26,South,North Mary,1,3,12.78,7.56,New,Retail
285,2025-02-04,West,Kristiton,23,2,6.34,3.38,Returning,Online
286,2025-11-14,East,Masseyton,10,9,87.84,47.16,New,Retail
287,2024-08-01,West,Cruzton,3,4,14.76,8.72,Returning,Retail
288,2025-05-14,South,Gouldview,11,1,2.96,1.14,New,Online
289,2025-05-28,West,North Dwaynemouth,13,14,70.56,25.62,New,Retail
290,2024-04-28,West,East Miguelview,11,5,14.8,5.7,Returning,Retail
291,2024-04-06,North,Lake Brandonmouth,17,4,18.48,10.96,New,Online
292,2025-09-13,West,East Gary,22,5,26.25,13.35,Returning,Retail
293,2025-11-21,West,Lake Michael,24,9,43.74,22.05,Returning,Retail
294,2024-01-15,South,New Sabrina,24,5,24.3,12.25,New,Retail
295,2024-05-29,South,Nicoleberg,20,7,28.77,15.05,New,Retail
296,2024-11-30,West,New Travis,10,6,58.56,31.44,Returning,Online
297,2025-11-19,South,South Christinafurt,2,3,16.89,10.05,New,Online
298,2024-04-22,East,Chenmouth,4,9,73.44,32.67,New,Retail
299,2025-09-21,East,Colonchester,19,5,29.15,14.25,New,Online
300,2024-07-14,North,New Katherine,18,7,33.67,19.32,New,Online
301,2025-07-02,East,Hillfort,10,9,87.84,47.16,Returning,Online
302,2024-10-04,East,New Kelseyhaven,6,5,14.5,8.6,Returning,Retail
303,2024-06-06,South,East Michael,2,8,45.04,26.8,Returning,Online
304,2025-11-07,East,Port Peterhaven,2,7,39.41,23.45,Returning,Online
305,2025-02-15,West,West Lauraport,23,7,22.19,11.83,New,Online
306,2024-04-12,East,Port Molly,20,6,24.66,12.9,New,Online
307,2025-02-19,East,South Dawnfurt,16,6,13.38,7.5,Returning,Retail
308,2024-12-15,South,Port Jonathan,7,6,54.6,25.5,New,Retail
309,2025-06-27,North,Robinsonland,10,10,97.6,52.4,Returning,Online
310,2025-05-27,East,South Lisaland,3,8,29.52,17.44,Returning,Retail
311,2024-10-03,North,Lake Brandon,1,10,42.6,25.2,Returning,Retail
312,2025-06-04,East,Reynoldsshire,11,3,8.88,3.42,Returning,Retail
313,2024-09-20,North,Lake Jessica,15,2,7.08,3.3,New,Online
314,2024-10-20,South,Lake Margaretshire,13,8,40.32,14.64,New,Retail
315,2025-06-09,East,Burnettview,9,8,22.48,7.92,New,Retail
316,2024-05-24,South,New Michael,24,4,19.44,9.8,New,Retail
317,2025-06-21,South,New David,18,4,19.24,11.04,New,Online
318,2024-03-08,North,Cooperport,22,6,31.5,16.02,New,Online
319,2024-11-26,North,New Christina,22,13,68.25,34.71,New,Retail
320,2024-04-25,North,Lake Charlesfurt,6,1,2.9,1.72,Returning,Retail
321,2025-07-26,North,Rebeccafort,25,10,94.1,50.6,Returning,Online
322,2025-08-14,South,Francesville,21,7,46.97,26.95,Returning,Online
323,2024-11-23,East,North Dianefort,1,12,51.12,30.24,Returning,Online
324,2024-09-01,South,Michaelmouth,5,5,17.5,8.2,New,Retail
325,2025-12-13,East,Peterside,4,6,48.96,21.78,New,Retail
326,2024-05-20,North,East Rhonda,12,3,17.52,7.56,New,Retail
327,2025-11-01,South,North Jonathan,11,6,17.76,6.84,Returning,Online
328,2024-12-31,South,Sonyaland,8,9,21.96,10.35,New,Online
329,2025-09-27,North,Julietown,24,3,14.58,7.35,New,Online
330,2024-11-21,West,West Christy,11,6,17.76,6.84,Returning,Online
331,2024-09-29,West,North Veronicaside,17,5,23.1,13.7,Returning,Online
332,2025-06-11,North,East Debraville,20,8,32.88,17.2,Returning,Online
333,2025-12-18,East,Port Kelly,10,4,39.04,20.96,Returning,Retail
334,2025-08-19,North,Joseview,11,5,14.8,5.7,Returning,Retail
335,2025-09-05,East,Jonesside,22,7,36.75,18.69,Returning,Online
336,2024-11-16,South,Ashleytown,11,10,29.6,11.4,New,Online
337,2025-04-22,North,South Jeffrey,17,6,27.72,16.44,Returning,Retail
338,2025-09-09,West,East James,12,4,23.36,10.08,Returning,Retail
339,2025-06-19,North,Port Melanie,21,7,46.97,26.95,Returning,Retail
340,2025-02-17,West,Lake Michellefort,13,7,35.28,12.81,Returning,Retail
341,2025-05-15,South,East Frankfurt,25,9,84.69,45.54,Returning,Retail
342,2024-08-18,South,South Jesseport,3,4,14.76,8.72,Returning,Retail
343,2025-04-23,South,West Daniel,5,8,28.0,13.12,Returning,Retail
344,2024-01-01,South,North Jillfurt,1,3,12.78,7.56,New,Retail
345,2025-01-25,North,Prestonland,3,5,18.45,10.9,Returning,Retail
346,2024-01-17,West,New Laurie,9,2,5.62,1.98,Returning,Retail
347,2025-06-05,West,East Jacquelinefurt,8,7,17.08,8.05,Returning,Online
348,2024-11-21,North,East Adamhaven,19,9,52.47,25.65,Returning,Retail
349,2024-02-18,South,Cunninghamville,7,4,36.4,17.0,New,Online
350,2025-04-06,South,New Stevenstad,13,5,25.2,9.15,Returning,Online
351,2024-09-22,West,Jordanmouth,9,3,8.43,2.97,New,Online
352,2025-08-01,South,Everettborough,11,3,8.88,3.42,New,Retail
353,2024-12-06,South,Rachelstad,2,4,22.52,13.4,New,Online
354,2025-10-05,West,Pearsonville,20,8,32.88,17.2,Returning,Retail
355,2025-04-08,North,East Christopherport,3,3,11.07,6.54,New,Retail
356,2025-03-06,West,North Thomas,7,8,72.8,34.0,New,Online
357,2024-06-11,West,Port Robertside,17,9,41.58,24.66,New,Online
358,2025-01-19,South,Wilsonfort,24,3,14.58,7.35,New,Online
359,2025-06-01,West,Woodfort,4,7,57.12,25.41,Returning,Online
360,2024-09-07,South,Port Alvinburgh,25,3,28.23,15.18,New,Online
361,2024-10-08,East,Michaelland,3,2,7.38,4.36,New,Online
362,2024-05-02,South,Patrickside,11,3,8.88,3.42,New,Online
363,2025-05-15,North,Aprilfort,3,7,25.83,15.26,Returning,Retail
364,2024-01-29,East,New Kristinport,11,5,14.8,5.7,Returning,Online
365,2025-10-12,East,Port Rebecca,3,8,29.52,17.44,New,Retail
366,2024-02-08,North,Lake Adamborough,3,5,18.45,10.9,New,Retail
367,2025-11-22,South,Singhborough,15,6,21.24,9.9,Returning,Retail
368,2024-09-16,East,Andersonborough,4,2,16.32,7.26,Returning,Online
369,2025-03-21,West,Anitaville,25,5,47.05,25.3,Returning,Retail
370,2025-12-21,North,Ryanchester,1,9,38.34,22.68,New,Retail
371,2024-01-22,West,Danielstad,19,9,52.47,25.65,New,Retail
372,2024-11-21,North,Lake Jose,12,7,40.88,17.64,New,Retail
373,2025-09-11,East,Lake Jonathan,23,2,6.34,3.38,New,Retail
374,2024-06-08,West,North Calvinland,18,4,19.24,11.04,Returning,Retail
375,2024-01-21,East,Carlaville,23,6,19.02,10.14,Returning,Online
376,2024-01-26,East,South James,9,7,19.67,6.93,New,Retail
377,2024-05-31,West,Acevedofort,18,6,28.86,16.56,Returning,Online
378,2025-07-18,East,Rachelshire,23,4,12.68,6.76,Returning,Online
379,2024-01-31,East,South Josephfurt,17,9,41.58,24.66,New,Retail
380,2024-08-25,West,Richardsmouth,11,6,17.76,6.84,Returning,Retail
381,2025-10-31,West,Thomasborough,2,6,33.78,20.1,New,Online
